Name,Vendor,Cost,Link
ESP-WROOM-32,Amazon,$16.79,https://www.amazon.com/ESP-WROOM-32-Development-Microcontroller-Integrated-Compatible/dp/B08D5ZD528/ref=sr_1_3?crid=2C9P27AKHCQ2J&dib=eyJ2IjoiMSJ9.XBINg-sjhfF_gUtnMiKGjq4fMHz7dyK9dj-72o379-4PGRYgyl9wHIdIbJQcIPy6aBvziOEbzC2DcoqNUURm3GREj0yFU3WyADNmyYj4y0UMdr4UMWM9PM-Nma6ZJa4gX4yzj6QaaBvBD7euFrXwdGjj89jbNqsBJw3kkZe3YBU8s7QGQYO9jqQMla1BKlzTZw8r11EjD1gy4RKtX3qrZ-rt387ZB6MsU7G_CJlt8CM.6xj5MQ8-3Ra-eg0QgdrtapzYmC3jlemf1uBIf2Pcsss&dib_tag=se&keywords=ESP32&qid=1782236436&sprefix=esp32%2Caps%2C230&sr=8-3&th=1
MECCANIXITY 5Pcs 304 Stainless Steel Round Rods Bar,Amazon,$6.99,https://www.amazon.com/MECCANIXITY-Stainless-Steel-Round-Various/dp/B0CZRWNXJ1/ref=sr_1_1_sspa?crid=8Y6JVBXBALZV&dib=eyJ2IjoiMSJ9.dWNhiE6kIHcWJfayG6wWYIatQ5vN54WKyxltKCM0kgc0C0EfY1n3pTcRpUgocv19IQoUtUNS3NkJ82zJbzYHDIWSvUPrA9O2GUnrgehKI_Qm5RIYIOqsFaGeqLs_tXIBEItP-xFg9LLfSRiZpR3yldaneOV2U-2JL0cKsgoRB1zmTjVue9Lifg_QHULjIbCNBFvkcHEdW-KPiwbi35eTzPgCaJ0dBXBNs_DGgj6AYTs.a9yLFuTuL1s-OxTfC3aWcXrOtwlBz_LxkAhdVEQjZBc&dib_tag=se&keywords=4.5mm%2Bx%2B200mm%2B304%2BStainless%2BSteel%2BRound%2BRod&nsdOptOutParam=true&qid=1780281671&sprefix=4.mm%2Bx%2B200mm%2B304%2Bstainless%2Bsteel%2Bround%2Brod%2Caps%2C167&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
PLA 1.75mm 3D Printer Filament,Amazon,$9.99,https://www.amazon.com/Filament-Dimensional-Accuracy-Clogging-Cardboard/dp/B0DCJR8JTG
SG90 Micro Servo Motor,Amazon,$7.99,https://www.amazon.com/Dorhea-Arduino-Helicopter-Airplane-Walking/dp/B07Q6JGWNV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Y-ehLySauM6XxgSdBTLCrj38EtVV1MmScGRgg4gtHCJw0UMsByyxwmZnhm_rzOjJtm5QxN0Vv9wRTQo8h15RZrmb1l2d3f8q_weqlEfuUzUyLYu-0trv_wNcjcgTiLIRXbHwRuF11CE0n9dgJ2o8RGkzAgSfk2oHdUlmSyRFhvjVJoWaXY4rSPgTRGY_dEPr9n0ltKMx6bndCYd1_jaJ0Hyls-yd6hML_mJI1uzzbUJRj-FNBUDaYADFB-RD5XW1_6FR7S-zfNwjhD9QYhaemsKlnhOtNfrUzIJpGKfm9Ic.qhLKti3i4QSAQegXho0vyYGlmk0ewUMpZ2n3fjlS03w&dib_tag=se&keywords=mini+servo&qid=1780088318&sr=8-10
Rubber Bands ,Amazon,$7.99,https://www.amazon.com/Rubber-Assorted-Elastic-Tactical-supplies/dp/B0DNZ8GTGF/ref=sr_1_4_sspa?crid=1JUKKU9PEYHJG&dib=eyJ2IjoiMSJ9.xw5OxOZuz9_Y6woY2Ulmy1oZY3um7KiCuFgHg0-UDnKwfOmKSlJp005inUzPS3Y-5G1loSIHUBTz4fWEVEnZS4NfBw8_QVxqonSmyznt54ZAlOWVfMxCQ35fM-KYKTQ-fmmvwv-wGTMPQAfPAsIvQZKGAsGoUpTIVA9WqvDg0-YXNcYz1uIKBEzrnTj8FbDmpQj6PCma5XkZQOrQhKCdslgkc3szOQm9ApJA7FAPCvfbjugOtqud_Xl0WgeOTBuxObHmwSReHmkDqaTM9AMwp0_oer8AxY5N3eoSa3yuRxo.OliCJgny0c6QXmHWcQwAWNhpMRANA7cb6L7wP2FlVvM&dib_tag=se&keywords=rubber+bands+varying+sizes&qid=1780185665&sprefix=rubber+bands+varying+size%2Caps%2C191&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Clear Fishing Line,Amazon,$3.99,https://www.amazon.com/Switches-Mechanical-Keyboards-Mounted-MX1AE1NN/dp/B09ZST8WMF
3.3V 5V MB102 Solderless Breadboard Power Supply Module,Amazon,$8.99,https://www.amazon.com/ALAMSCN-Solderless-Breadboard-Battery-Arduino/dp/B08JYPMCZY/ref=sr_1_3?crid=1DNRR7JNT9D6I&dib=eyJ2IjoiMSJ9.HPjPA0HU8tdio-JutaUyHoDwtbY_Hn1CnrV5Qw6MFxeKIYHMxF6ufEflQbKK8DrlkoYR5HwzRYvh9r6dwuvWvIOGwWUjxPVnhoRxkCT9OyHUDHcvLn4AT6Pflb9w7kNvwfLPajxC_Gh5PYwR52DuQSA5mvnLvGnPbSqcid6Ed-Jfu2LFg9A2P-5IrDxaR58FclXOF6Txr5oF8LDYzAPRjM_YXl06PFlgIqcbqpAR1K4.yjQXCnAdTVxymJnC6zA26rWMgzJ36vYz-SDAKjhUD7U&dib_tag=se&keywords=Elegoo%2BPower%2Bsupply%2BModule&qid=1782239333&sprefix=%2Caps%2C332&sr=8-3&th=1
___, Total,$62.73,_______
